UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temperature_gap [K],power_proxy,failure_mode,air_temperature_k_z,process_temperature_k_z,rotational_speed_rpm_z,torque_nm_z,tool_wear_min_z,temperature_gap_k_z,power_proxy_z,Type_H,Type_L,Type_M
1,M14860,M,298.1,308.6,1551,42.8,0,0,0,0,0,0,0,10.5,66382.79999999999,None,-0.9523894433829583,-0.9473598877173782,0.06818514034143008,0.28219975602413067,-1.6959837443286896,0.4988493226094761,0.6294432133840252,0,0,1
2,L47181,L,298.2,308.7,1408,46.3,3,0,0,0,0,0,0,10.5,65190.399999999994,None,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.6333080199205777,-1.648851700781283,0.4988493226094761,0.512456198606482,0,1,0
3,L47182,L,298.1,308.5,1498,49.4,5,0,0,0,0,0,0,10.399999999999977,74001.2,None,-0.9523894433829583,-1.0147607733229451,-0.22744984015544953,0.9442896250860024,-1.6174303384163455,0.3989535894637948,1.376888595287112,0,1,0
4,L47183,L,298.2,308.6,1433,39.5,7,0,0,0,0,0,0,10.400000000000034,56603.5,None,-0.9023934097553371,-0.9473598877173782,-0.5900210426516227,-0.04884517850680491,-1.5860089760514078,0.39895358946385157,-0.33000924687598204,0,1,0
5,L47184,L,298.2,308.7,1408,40.0,9,0,0,0,0,0,0,10.5,56320.0,None,-0.9023934097553371,-0.8799590021118496,-0.7294715051501508,0.0013131449069732513,-1.5545876136864702,0.4988493226094761,-0.3578235866021089,0,1,0
6,M14865,M,298.1,308.6,1425,41.9,11,0,0,0,0,0,0,10.5,59707.5,None,-0.9523894433829583,-0.9473598877173782,-0.6346451906511517,0.1919147738793301,-1.5231662513215327,0.4988493226094761,-0.025474112802268585,0,0,1
7,L47186,L,298.1,308.6,1558,42.4,14,0,0,0,0,0,0,10.5,66059.2,None,-0.9523894433829583,-0.9473598877173782,0.10723126984101795,0.24207309729310825,-1.4760342077741262,0.4988493226094761,0.5976946407724752,0,1,0
8,L47187,L,298.1,308.6,1527,40.2,16,0,0,0,0,0,0,10.5,61385.4,None,-0.9523894433829583,-0.9473598877173782,-0.06568730365715691,0.021376474272484798,-1.4446128454091887,0.4988493226094761,0.13914557194717866,0,1,0
9,M14868,M,298.3,308.7,1667,28.6,18,0,0,0,0,0,0,10.399999999999977,47676.200000000004,None,-0.8523973761276875,-0.8799590021118496,0.7152352863346005,-1.1422966289271685,-1.4131914830442511,0.3989535894637948,-1.2058715221389527,0,0,1
10,M14869,M,298.5,309.0,1741,28.0,21,0,0,0,0,0,0,10.5,48748.0,None,-0.7524053088724167,-0.677756345295187,1.1280086553302437,-1.2024866170237025,-1.3660594394968446,0.4988493226094761,-1.1007166391814125,0,0,1
11,H29424,H,298.4,308.9,1782,23.9,24,0,0,0,0,0,0,10.5,42589.799999999996,None,-0.8024013425000663,-0.7451572309007539,1.3567074138278299,-1.6137848690166836,-1.3189273959494383,0.4988493226094761,-1.7049010021494355,1,0,0
12,H29425,H,298.6,309.1,1423,44.3,29,0,0,0,0,0,0,10.5,63038.899999999994,None,-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370943,0.4988493226094761,0.3013713593798085,1,0,0
13,M14872,M,298.6,309.1,1339,51.1,34,0,0,0,0,0,0,10.5,68422.90000000001,None,-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928485,-1.1618205841247502,0.4988493226094761,0.8295985378117923,0,0,1
14,M14873,M,298.6,309.2,1742,30.0,37,0,0,0,0,0,0,10.599999999999966,52260.0,None,-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,0.5987450557551006,-0.7561524024330615,0,0,1
15,L47194,L,298.6,309.2,2035,19.6,40,0,0,0,0,0,0,10.599999999999966,39886.0,None,-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751753,-1.0675564970299374,0.5987450557551006,-1.970172295805526,0,1,0
16,L47195,L,298.6,309.2,1542,48.4,42,0,0,0,0,0,0,10.599999999999966,74632.8,None,-0.7024092752447672,-0.5429545740840913,0.017982973841959956,0.8439729782584461,-1.0361351346649998,0.5987450557551006,1.4388552159961838,0,1,0
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,61092.6,None,-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0.5987450557551006,0.11041880414537963,0,0,1
