strategy,threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,positive_predictions
iid,0.05,0.0665,0.0351,1.0,0.0679,68,65,1867,0,1935
iid,0.06,0.088,0.0359,1.0,0.0694,68,108,1824,0,1892
iid,0.07,0.1125,0.0369,1.0,0.0712,68,157,1775,0,1843
iid,0.08,0.139,0.038,1.0,0.0732,68,210,1722,0,1790
iid,0.09,0.1505,0.0385,1.0,0.0741,68,233,1699,0,1767
iid,0.1,0.173,0.039,0.9853,0.0749,67,279,1653,1,1720
iid,0.11,0.193,0.0399,0.9853,0.0767,67,319,1613,1,1680
iid,0.12,0.206,0.0405,0.9853,0.0778,67,345,1587,1,1654
iid,0.13,0.234,0.0414,0.9706,0.0793,66,402,1530,2,1596
iid,0.14,0.257,0.042,0.9559,0.0804,65,449,1483,3,1548
iid,0.15,0.278,0.0432,0.9559,0.0826,65,491,1441,3,1506
iid,0.16,0.2935,0.0441,0.9559,0.0843,65,522,1410,3,1475
iid,0.17,0.313,0.0453,0.9559,0.0864,65,561,1371,3,1436
iid,0.18,0.336,0.0468,0.9559,0.0892,65,607,1325,3,1390
iid,0.19,0.3545,0.048,0.9559,0.0915,65,644,1288,3,1353
iid,0.2,0.3745,0.0495,0.9559,0.0941,65,684,1248,3,1313
iid,0.21,0.3925,0.0509,0.9559,0.0967,65,720,1212,3,1277
iid,0.22,0.4055,0.0512,0.9412,0.0972,64,747,1185,4,1249
iid,0.23,0.425,0.0529,0.9412,0.1002,64,786,1146,4,1210
iid,0.24,0.4415,0.0536,0.9265,0.1014,63,820,1112,5,1175
iid,0.25,0.4585,0.0552,0.9265,0.1042,63,854,1078,5,1141
iid,0.26,0.475,0.0569,0.9265,0.1071,63,887,1045,5,1108
iid,0.27,0.4915,0.0586,0.9265,0.1102,63,920,1012,5,1075
iid,0.28,0.507,0.0603,0.9265,0.1133,63,951,981,5,1044
iid,0.29,0.5255,0.0626,0.9265,0.1172,63,988,944,5,1007
iid,0.3,0.536,0.063,0.9118,0.1179,62,1010,922,6,984
iid,0.31,0.547,0.0635,0.8971,0.1187,61,1033,899,7,960
iid,0.32,0.558,0.065,0.8971,0.1213,61,1055,877,7,938
iid,0.33,0.571,0.0669,0.8971,0.1245,61,1081,851,7,912
iid,0.34,0.585,0.069,0.8971,0.1282,61,1109,823,7,884
iid,0.35,0.5965,0.0698,0.8824,0.1294,60,1133,799,8,859
iid,0.36,0.6105,0.0712,0.8676,0.1315,59,1162,770,9,829
