strategy,round,participating_clients,local_epochs,client_samples,mean_client_loss,val_accuracy,val_precision,val_recall,val_f1,test_accuracy_at_0_5,test_precision_at_0_5,test_recall_at_0_5,test_f1_at_0_5
iid,1,5,5,6000,0.621546,0.514,0.0551,0.8235,0.1033,0.532,0.0562,0.8088,0.1052
iid,2,5,5,6000,0.594636,0.5375,0.0578,0.8235,0.108,0.5555,0.0591,0.8088,0.1101
iid,3,5,5,6000,0.577759,0.565,0.0603,0.8088,0.1122,0.5845,0.063,0.8088,0.1169
iid,4,5,5,6000,0.564792,0.5865,0.0633,0.8088,0.1174,0.6055,0.0662,0.8088,0.1224
iid,5,5,5,6000,0.553871,0.6045,0.066,0.8088,0.1221,0.6315,0.0706,0.8088,0.1299
iid,6,5,5,6000,0.54429,0.614,0.0665,0.7941,0.1227,0.644,0.0729,0.8088,0.1338
iid,7,5,5,6000,0.535715,0.6295,0.0691,0.7941,0.1272,0.6575,0.0757,0.8088,0.1384
iid,8,5,5,6000,0.527954,0.6395,0.071,0.7941,0.1303,0.671,0.0786,0.8088,0.1432
iid,9,5,5,6000,0.52088,0.651,0.0732,0.7941,0.134,0.685,0.0818,0.8088,0.1486
iid,10,5,5,6000,0.514398,0.663,0.0756,0.7941,0.1381,0.6975,0.085,0.8088,0.1538
iid,11,5,5,6000,0.508436,0.6695,0.077,0.7941,0.1404,0.707,0.0876,0.8088,0.158
iid,12,5,5,6000,0.502934,0.6785,0.0791,0.7941,0.1438,0.718,0.0908,0.8088,0.1632
iid,13,5,5,6000,0.497843,0.6855,0.0795,0.7794,0.1442,0.7265,0.0948,0.8235,0.17
iid,14,5,5,6000,0.493122,0.693,0.0813,0.7794,0.1472,0.73,0.0959,0.8235,0.1718
iid,15,5,5,6000,0.488734,0.7015,0.0835,0.7794,0.1508,0.7375,0.0984,0.8235,0.1758
iid,16,5,5,6000,0.484648,0.7085,0.0853,0.7794,0.1538,0.7435,0.1005,0.8235,0.1792
iid,17,5,5,6000,0.480836,0.7135,0.0854,0.7647,0.1536,0.7505,0.1031,0.8235,0.1833
iid,18,5,5,6000,0.477274,0.718,0.0867,0.7647,0.1557,0.753,0.1041,0.8235,0.1848
iid,19,5,5,6000,0.47394,0.723,0.0867,0.75,0.1555,0.7575,0.1073,0.8382,0.1903
iid,20,5,5,6000,0.470814,0.727,0.0879,0.75,0.1574,0.761,0.1088,0.8382,0.1926
iid,21,5,5,6000,0.467881,0.7305,0.089,0.75,0.1591,0.763,0.1096,0.8382,0.1939
iid,22,5,5,6000,0.465123,0.7315,0.0893,0.75,0.1596,0.766,0.1109,0.8382,0.1959
iid,23,5,5,6000,0.462527,0.7365,0.0909,0.75,0.1622,0.7685,0.112,0.8382,0.1976
iid,24,5,5,6000,0.46008,0.738,0.0914,0.75,0.1629,0.7695,0.1124,0.8382,0.1983
iid,25,5,5,6000,0.457771,0.7405,0.0922,0.75,0.1643,0.772,0.1151,0.8529,0.2028
iid,26,5,5,6000,0.45559,0.743,0.0931,0.75,0.1656,0.7735,0.1158,0.8529,0.2039
iid,27,5,5,6000,0.453527,0.7445,0.0951,0.7647,0.1691,0.7745,0.1131,0.8235,0.1989
iid,28,5,5,6000,0.451573,0.7475,0.0961,0.7647,0.1708,0.777,0.1159,0.8382,0.2036
iid,29,5,5,6000,0.44972,0.7525,0.0979,0.7647,0.1736,0.7805,0.1175,0.8382,0.2061
iid,30,5,5,6000,0.447963,0.754,0.0985,0.7647,0.1745,0.7815,0.118,0.8382,0.2069
iid,31,5,5,6000,0.446293,0.757,0.0996,0.7647,0.1763,0.784,0.1192,0.8382,0.2088
iid,32,5,5,6000,0.444705,0.7585,0.1002,0.7647,0.1772,0.7855,0.12,0.8382,0.2099
iid,33,5,5,6000,0.443194,0.7585,0.1002,0.7647,0.1772,0.787,0.1208,0.8382,0.2111
iid,34,5,5,6000,0.441754,0.7595,0.1006,0.7647,0.1778,0.788,0.1213,0.8382,0.2119
iid,35,5,5,6000,0.440381,0.7615,0.1014,0.7647,0.179,0.7885,0.1215,0.8382,0.2123
iid,36,5,5,6000,0.439071,0.762,0.1016,0.7647,0.1793,0.79,0.1223,0.8382,0.2135
iid,37,5,5,6000,0.437819,0.7635,0.1022,0.7647,0.1802,0.792,0.1234,0.8382,0.2151
iid,38,5,5,6000,0.436623,0.7635,0.1006,0.75,0.1774,0.7935,0.1242,0.8382,0.2163
iid,39,5,5,6000,0.435478,0.7635,0.1006,0.75,0.1774,0.7945,0.1247,0.8382,0.2171
iid,40,5,5,6000,0.434381,0.766,0.1016,0.75,0.1789,0.7965,0.1258,0.8382,0.2188
iid,41,5,5,6000,0.43333,0.767,0.102,0.75,0.1796,0.797,0.1261,0.8382,0.2192
iid,42,5,5,6000,0.432322,0.769,0.1028,0.75,0.1809,0.798,0.1267,0.8382,0.2201
iid,43,5,5,6000,0.431355,0.7705,0.1034,0.75,0.1818,0.8,0.1295,0.8529,0.2248
iid,44,5,5,6000,0.430425,0.772,0.1041,0.75,0.1828,0.8005,0.1298,0.8529,0.2252
iid,45,5,5,6000,0.429532,0.774,0.1066,0.7647,0.1871,0.8005,0.1298,0.8529,0.2252
iid,46,5,5,6000,0.428673,0.7745,0.1068,0.7647,0.1874,0.8025,0.1309,0.8529,0.227
iid,47,5,5,6000,0.427845,0.7755,0.1072,0.7647,0.1881,0.8025,0.1309,0.8529,0.227
iid,48,5,5,6000,0.427048,0.7765,0.1077,0.7647,0.1887,0.8045,0.1321,0.8529,0.2288
iid,49,5,5,6000,0.42628,0.7765,0.1077,0.7647,0.1887,0.8055,0.1327,0.8529,0.2297
iid,50,5,5,6000,0.425539,0.777,0.1079,0.7647,0.1891,0.8055,0.1327,0.8529,0.2297
moderate_non_iid,1,5,5,6000,0.62498,0.5135,0.0551,0.8235,0.1032,0.532,0.0562,0.8088,0.1052
