threshold,accuracy,precision,recall,f1,tp,tn,fp,fn,positive_predictions
0.05,0.1435,0.0382,1.0,0.0736,68,219,1713,0,1781
0.06,0.1665,0.0392,1.0,0.0754,68,265,1667,0,1735
0.07,0.1905,0.0403,1.0,0.0775,68,313,1619,0,1687
0.08,0.2135,0.0409,0.9853,0.0785,67,360,1572,1,1639
0.09,0.241,0.0411,0.9559,0.0789,65,417,1515,3,1580
0.1,0.266,0.0425,0.9559,0.0814,65,467,1465,3,1530
0.11,0.287,0.0437,0.9559,0.0835,65,509,1423,3,1488
0.12,0.3095,0.045,0.9559,0.086,65,554,1378,3,1443
0.13,0.3325,0.0465,0.9559,0.0887,65,600,1332,3,1397
0.14,0.3525,0.0479,0.9559,0.0912,65,640,1292,3,1357
0.15,0.373,0.0494,0.9559,0.0939,65,681,1251,3,1316
0.16,0.395,0.0504,0.9412,0.0957,64,726,1206,4,1270
0.17,0.4095,0.0516,0.9412,0.0978,64,755,1177,4,1241
0.18,0.422,0.0526,0.9412,0.0997,64,780,1152,4,1216
0.19,0.4425,0.0537,0.9265,0.1015,63,822,1110,5,1173
0.2,0.46,0.0554,0.9265,0.1045,63,857,1075,5,1138
0.21,0.478,0.0572,0.9265,0.1077,63,893,1039,5,1102
0.22,0.4945,0.0589,0.9265,0.1108,63,926,1006,5,1069
0.23,0.5075,0.0604,0.9265,0.1134,63,952,980,5,1043
0.24,0.5205,0.0619,0.9265,0.1161,63,978,954,5,1017
0.25,0.5345,0.0637,0.9265,0.1192,63,1006,926,5,989
0.26,0.544,0.064,0.9118,0.1197,62,1026,906,6,968
0.27,0.5595,0.0662,0.9118,0.1234,62,1057,875,6,937
0.28,0.568,0.0674,0.9118,0.1255,62,1074,858,6,920
0.29,0.5805,0.0683,0.8971,0.127,61,1100,832,7,893
0.3,0.5935,0.0704,0.8971,0.1305,61,1126,806,7,867
0.31,0.607,0.0726,0.8971,0.1344,61,1153,779,7,840
0.32,0.6165,0.0733,0.8824,0.1353,60,1173,759,8,819
0.33,0.634,0.0765,0.8824,0.1408,60,1208,724,8,784
0.34,0.6455,0.0777,0.8676,0.1427,59,1232,700,9,759
0.35,0.658,0.0804,0.8676,0.1471,59,1257,675,9,734
0.36,0.6655,0.0797,0.8382,0.1456,57,1274,658,11,715
0.37,0.676,0.0809,0.8235,0.1474,56,1296,636,12,692
0.38,0.6865,0.0835,0.8235,0.1516,56,1317,615,12,671
0.39,0.699,0.0867,0.8235,0.1569,56,1342,590,12,646
0.4,0.71,0.0884,0.8088,0.1594,55,1365,567,13,622
0.41,0.718,0.0894,0.7941,0.1607,54,1382,550,14,604
0.42,0.724,0.0912,0.7941,0.1636,54,1394,538,14,592
0.43,0.731,0.0934,0.7941,0.1672,54,1408,524,14,578
0.44,0.7405,0.0966,0.7941,0.1722,54,1427,505,14,559
0.45,0.7495,0.0998,0.7941,0.1773,54,1445,487,14,541
0.46,0.758,0.1015,0.7794,0.1797,53,1463,469,15,522
0.47,0.771,0.1069,0.7794,0.1879,53,1489,443,15,496
0.48,0.779,0.1104,0.7794,0.1934,53,1505,427,15,480
0.49,0.79,0.1157,0.7794,0.2015,53,1527,405,15,458
0.5,0.795,0.1183,0.7794,0.2054,53,1537,395,15,448
0.51,0.802,0.1221,0.7794,0.2112,53,1551,381,15,434
0.52,0.8085,0.1259,0.7794,0.2168,53,1564,368,15,421
0.53,0.815,0.1299,0.7794,0.2227,53,1577,355,15,408
0.54,0.8205,0.1316,0.7647,0.2246,52,1589,343,16,395
0.55,0.824,0.134,0.7647,0.2281,52,1596,336,16,388
0.56,0.8315,0.1375,0.75,0.2323,51,1612,320,17,371
0.57,0.839,0.1412,0.7353,0.237,50,1628,304,18,354
0.58,0.8475,0.1484,0.7353,0.2469,50,1645,287,18,337
0.59,0.8525,0.1529,0.7353,0.2532,50,1655,277,18,327
0.6,0.8555,0.1536,0.7206,0.2532,49,1662,270,19,319
0.61,0.8595,0.1553,0.7059,0.2546,48,1671,261,20,309
0.62,0.8625,0.1584,0.7059,0.2588,48,1677,255,20,303
0.63,0.8685,0.1649,0.7059,0.2674,48,1689,243,20,291
0.64,0.876,0.1715,0.6912,0.2749,47,1705,227,21,274
0.65,0.88,0.1692,0.6471,0.2683,44,1716,216,24,260
0.66,0.887,0.1789,0.6471,0.2803,44,1730,202,24,246
0.67,0.896,0.1903,0.6324,0.2925,43,1749,183,25,226
0.68,0.902,0.2009,0.6324,0.305,43,1761,171,25,214
0.69,0.9065,0.204,0.6029,0.3048,41,1772,160,27,201
0.7,0.9105,0.2063,0.5735,0.3035,39,1782,150,29,189
0.71,0.9155,0.2179,0.5735,0.3158,39,1792,140,29,179
0.72,0.921,0.2289,0.5588,0.3248,38,1804,128,30,166
0.73,0.921,0.2256,0.5441,0.319,37,1805,127,31,164
0.74,0.9255,0.2387,0.5441,0.3318,37,1814,118,31,155
0.75,0.9285,0.2483,0.5441,0.341,37,1820,112,31,149
0.76,0.9335,0.2662,0.5441,0.3575,37,1830,102,31,139
0.77,0.939,0.2857,0.5294,0.3711,36,1842,90,32,126
0.78,0.944,0.3103,0.5294,0.3913,36,1852,80,32,116
0.79,0.9455,0.3084,0.4853,0.3771,33,1858,74,35,107
0.8,0.9505,0.3402,0.4853,0.4,33,1868,64,35,97
0.81,0.955,0.3721,0.4706,0.4156,32,1878,54,36,86
0.82,0.958,0.3974,0.4559,0.4247,31,1885,47,37,78
0.83,0.9595,0.403,0.3971,0.4,27,1892,40,41,67
0.84,0.9615,0.4237,0.3676,0.3937,25,1898,34,43,59
0.85,0.962,0.431,0.3676,0.3968,25,1899,33,43,58
0.86,0.9635,0.451,0.3382,0.3866,23,1904,28,45,51
0.87,0.964,0.4565,0.3088,0.3684,21,1907,25,47,46
0.88,0.9645,0.4634,0.2794,0.3486,19,1910,22,49,41
0.89,0.9665,0.5135,0.2794,0.3619,19,1914,18,49,37
0.9,0.9675,0.5484,0.25,0.3434,17,1918,14,51,31
0.91,0.9665,0.5185,0.2059,0.2947,14,1919,13,54,27
0.92,0.9675,0.56,0.2059,0.3011,14,1921,11,54,25
0.93,0.9685,0.6316,0.1765,0.2759,12,1925,7,56,19
0.94,0.968,0.625,0.1471,0.2381,10,1926,6,58,16
0.95,0.968,0.6667,0.1176,0.2,8,1928,4,60,12
